MaSP,TenSP,DanhMuc,Gia,SoLuongTon,HinhAnh,MoTa,TrangThai,KichThuoc,ChatLieu,MauSac,BaoHanh,XuatXu,MoTaChiTiet
SP078,Bàn trang điểm hiện đại SP078,Phòng ngủ,7530000,20,https://images.unsplash.com/photo-1507473885765-e6ed057f782c?w=600&q=80|https://images.unsplash.com/photo-1493663284031-b7e3aefcae8e?w=600&q=80|https://images.unsplash.com/photo-1563861826100-9cb868fdbe1c?w=600&q=80|https://images.unsplash.com/photo-1563245372-f21724e3856d?w=600&q=80,Bàn trang điểm chất liệu gỗ sồi nga mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,116cm x 54cm x 154cm,Gỗ Sồi Nga,Xanh mint pastel,36 tháng,iDECOR Thiết kế & Thi công,"Sản phẩm Bàn trang điểm hiện đại SP078 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP079,Kệ gương thông minh Scandinavian SP079,Phòng tắm,1710000,40,https://images.unsplash.com/photo-1594758066227-d021c5b8b9ec?w=600&q=80|https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?w=600&q=80|https://images.unsplash.com/photo-1578500494198-246f612d3b3d?w=600&q=80|https://images.unsplash.com/photo-1603006905003-be475563bc59?w=600&q=80,Kệ gương thông minh chất liệu đá nhân tạo chống thấm mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,48cm x 72cm x 159cm,Đá nhân tạo chống thấm,Ghi xám thanh lịch,24 tháng,iDECOR Thiết kế & Thi công,"Sản phẩm Kệ gương thông minh Scandinavian SP079 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP080,Tủ bếp trên hiện đại SP080,Phòng bếp,24110000,34,https://images.unsplash.com/photo-1616486338812-3dadae4b4ace?w=600&q=80|https://images.unsplash.com/photo-1583847268964-b28dc8f51f92?w=600&q=80|https://images.unsplash.com/photo-1615066390971-03e4e1c36ddf?w=600&q=80|https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=600&q=80,Tủ bếp trên chất liệu mặt đá ceramic mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,176cm x 43cm x 74cm,Mặt đá Ceramic,Nâu hạt dẻ ấm áp,12 tháng,iDECOR Việt Nam,"Sản phẩm Tủ bếp trên hiện đại SP080 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP081,Rèm bồn tắm phong cách Japandi SP081,Phòng tắm,22510000,51,https://images.unsplash.com/photo-1513506003901-1e6a229e2d15?w=600&q=80|https://images.unsplash.com/photo-1558882224-cca166733360?w=600&q=80|https://images.unsplash.com/photo-1532372320572-cda25653a26d?w=600&q=80|https://images.unsplash.com/photo-1563861826100-9cb868fdbe1c?w=600&q=80,Rèm bồn tắm chất liệu đá nhân tạo chống thấm mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,51cm x 45cm x 66cm,Đá nhân tạo chống thấm,Trắng kem tối giản,24 tháng,iDECOR Việt Nam,"Sản phẩm Rèm bồn tắm phong cách Japandi SP081 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP082,Bàn ăn sang trọng SP082,Phòng bếp,14770000,18,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?w=600&q=80|https://images.unsplash.com/photo-1558882224-cca166733360?w=600&q=80|https://images.unsplash.com/photo-1616486338812-3dadae4b4ace?w=600&q=80|https://images.unsplash.com/photo-1588854337236-6889d631faa8?w=600&q=80,Bàn ăn chất liệu gỗ mdf phủ acrylic bóng gương mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,98cm x 78cm x 80cm,Gỗ MDF phủ Acrylic bóng gương,Xám đậm hiện đại,36 tháng,Nhập khẩu nguyên kiện,"Sản phẩm Bàn ăn sang trọng SP082 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP083,Tủ Lavabo phong cách Japandi SP083,Phòng tắm,480000,16,https://images.unsplash.com/photo-1583847268964-b28dc8f51f92?w=600&q=80|https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=600&q=80|https://images.unsplash.com/photo-1563861826100-9cb868fdbe1c?w=600&q=80|https://images.unsplash.com/photo-1556912173-3bb406ef7e77?w=600&q=80,Tủ Lavabo chất liệu nhựa đặc pvc chịu nước tuyệt đối mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,115cm x 97cm x 182cm,Nhựa đặc PVC chịu nước tuyệt đối,Nâu hạt dẻ ấm áp,36 tháng,iDECOR Việt Nam,"Sản phẩm Tủ Lavabo phong cách Japandi SP083 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP084,Đèn thả bàn ăn tối giản SP084,Phòng bếp,18720000,15,https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=600&q=80|https://images.unsplash.com/photo-1588854337236-6889d631faa8?w=600&q=80|https://images.unsplash.com/photo-1618221195710-dd6b41faaea6?w=600&q=80|https://images.unsplash.com/photo-1507473885765-e6ed057f782c?w=600&q=80,Đèn thả bàn ăn chất liệu gỗ mdf phủ acrylic bóng gương mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,166cm x 70cm x 192cm,Gỗ MDF phủ Acrylic bóng gương,Ghi xám thanh lịch,24 tháng,iDECOR Việt Nam,"Sản phẩm Đèn thả bàn ăn tối giản SP084 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP085,Bàn trà gỗ Sồi phong cách Japandi SP085,Phòng khách,4040000,13,https://images.unsplash.com/photo-1563245372-f21724e3856d?w=600&q=80|https://images.unsplash.com/photo-1620626011761-996317b8d101?w=600&q=80|https://images.unsplash.com/photo-1507473885765-e6ed057f782c?w=600&q=80|https://images.unsplash.com/photo-1594758066227-d021c5b8b9ec?w=600&q=80,Bàn trà gỗ Sồi chất liệu da bò thật mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,227cm x 57cm x 202cm,Da bò thật,Trắng kem tối giản,24 tháng,iDECOR Thiết kế & Thi công,"Sản phẩm Bàn trà gỗ Sồi phong cách Japandi SP085 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP086,Bàn ăn Scandinavian SP086,Phòng bếp,6050000,9,https://images.unsplash.com/photo-1583847268964-b28dc8f51f92?w=600&q=80|https://images.unsplash.com/photo-1558882224-cca166733360?w=600&q=80|https://images.unsplash.com/photo-1594758066227-d021c5b8b9ec?w=600&q=80|https://images.unsplash.com/photo-1615066390971-03e4e1c36ddf?w=600&q=80,Bàn ăn chất liệu mặt đá ceramic mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,209cm x 76cm x 161cm,Mặt đá Ceramic,Xám đậm hiện đại,24 tháng,iDECOR Việt Nam,"Sản phẩm Bàn ăn Scandinavian SP086 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP087,Hộp đựng nước rửa tay Scandinavian SP087,Phòng tắm,17610000,22,https://images.unsplash.com/photo-1493663284031-b7e3aefcae8e?w=600&q=80|https://images.unsplash.com/photo-1603006905003-be475563bc59?w=600&q=80|https://images.unsplash.com/photo-1620626011761-996317b8d101?w=600&q=80|https://images.unsplash.com/photo-1600121848594-d8644e57abab?w=600&q=80,Hộp đựng nước rửa tay chất liệu đá nhân tạo chống thấm mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,124cm x 85cm x 166cm,Đá nhân tạo chống thấm,Xám đậm hiện đại,36 tháng,iDECOR Thiết kế & Thi công,"Sản phẩm Hộp đựng nước rửa tay Scandinavian SP087 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP088,Bàn trang điểm hiện đại SP088,Phòng ngủ,16570000,28,https://images.unsplash.com/photo-1522771739844-6a9f6d5f14af?w=600&q=80|https://images.unsplash.com/photo-1620626011761-996317b8d101?w=600&q=80|https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=600&q=80|https://images.unsplash.com/photo-1578500494198-246f612d3b3d?w=600&q=80,Bàn trang điểm chất liệu gỗ sồi nga mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,178cm x 78cm x 44cm,Gỗ Sồi Nga,Vàng sồi tự nhiên,12 tháng,Nhập khẩu nguyên kiện,"Sản phẩm Bàn trang điểm hiện đại SP088 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP089,Kệ sách đứng hiện đại SP089,Phòng khách,9120000,23,https://images.unsplash.com/photo-1540518614846-7eded433c457?w=600&q=80|https://images.unsplash.com/photo-1533090161767-e6ffed986c88?w=600&q=80|https://images.unsplash.com/photo-1600121848594-d8644e57abab?w=600&q=80|https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=600&q=80,Kệ sách đứng chất liệu da bò thật mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,152cm x 72cm x 135cm,Da bò thật,Xanh mint pastel,36 tháng,iDECOR Thiết kế & Thi công,"Sản phẩm Kệ sách đứng hiện đại SP089 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP090,Ghế bar chân cao tối giản SP090,Phòng bếp,510000,33,https://images.unsplash.com/photo-1507473885765-e6ed057f782c?w=600&q=80|https://images.unsplash.com/photo-1556912173-3bb406ef7e77?w=600&q=80|https://images.unsplash.com/photo-1540518614846-7eded433c457?w=600&q=80|https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=600&q=80,Ghế bar chân cao chất liệu mặt đá ceramic mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,167cm x 48cm x 166cm,Mặt đá Ceramic,Vàng sồi tự nhiên,36 tháng,Nhập khẩu nguyên kiện,"Sản phẩm Ghế bar chân cao tối giản SP090 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP091,Rèm bồn tắm Retro hoài cổ SP091,Phòng tắm,8310000,50,https://images.unsplash.com/photo-1618221195710-dd6b41faaea6?w=600&q=80|https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=600&q=80|https://images.unsplash.com/photo-1594758066227-d021c5b8b9ec?w=600&q=80|https://images.unsplash.com/photo-1567538096630-e0c55bd6374c?w=600&q=80,Rèm bồn tắm chất liệu phôi gương bỉ cao cấp mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,175cm x 62cm x 159cm,Phôi gương Bỉ cao cấp,Trắng kem tối giản,24 tháng,iDECOR Việt Nam,"Sản phẩm Rèm bồn tắm Retro hoài cổ SP091 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP092,Thảm đá chùi chân Retro hoài cổ SP092,Phòng tắm,23980000,21,https://images.unsplash.com/photo-1603006905003-be475563bc59?w=600&q=80|https://images.unsplash.com/photo-1595428774223-ef52624120d2?w=600&q=80|https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=600&q=80|https://images.unsplash.com/photo-1615066390971-03e4e1c36ddf?w=600&q=80,Thảm đá chùi chân chất liệu inox 304 xước mờ mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,73cm x 57cm x 137cm,Inox 304 xước mờ,Trắng kem tối giản,12 tháng,iDECOR Việt Nam,"Sản phẩm Thảm đá chùi chân Retro hoài cổ SP092 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP093,Kệ để đồ sau bồn cầu Retro hoài cổ SP093,Phòng tắm,12940000,33,https://images.unsplash.com/photo-1563861826100-9cb868fdbe1c?w=600&q=80|https://images.unsplash.com/photo-1583847268964-b28dc8f51f92?w=600&q=80|https://images.unsplash.com/photo-1616486338812-3dadae4b4ace?w=600&q=80|https://images.unsplash.com/photo-1594758066227-d021c5b8b9ec?w=600&q=80,Kệ để đồ sau bồn cầu chất liệu nhựa đặc pvc chịu nước tuyệt đối mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,95cm x 51cm x 218cm,Nhựa đặc PVC chịu nước tuyệt đối,Ghi xám thanh lịch,24 tháng,iDECOR Thiết kế & Thi công,"Sản phẩm Kệ để đồ sau bồn cầu Retro hoài cổ SP093 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP094,Sofa nỉ phong cách Japandi SP094,Phòng khách,20400000,29,https://images.unsplash.com/photo-1600121848594-d8644e57abab?w=600&q=80|https://images.unsplash.com/photo-1583847268964-b28dc8f51f92?w=600&q=80|https://images.unsplash.com/photo-1615066390971-03e4e1c36ddf?w=600&q=80|https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=600&q=80,Sofa nỉ chất liệu da bò thật mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,86cm x 87cm x 185cm,Da bò thật,Vàng sồi tự nhiên,12 tháng,iDECOR Thiết kế & Thi công,"Sản phẩm Sofa nỉ phong cách Japandi SP094 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP095,Ghế ăn bọc da thông minh cao cấp SP095,Phòng bếp,4260000,40,https://images.unsplash.com/photo-1556912173-3bb406ef7e77?w=600&q=80|https://images.unsplash.com/photo-1563861826100-9cb868fdbe1c?w=600&q=80|https://images.unsplash.com/photo-1595428774223-ef52624120d2?w=600&q=80|https://images.unsplash.com/photo-1583847268964-b28dc8f51f92?w=600&q=80,Ghế ăn bọc da chất liệu inox 304 mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,104cm x 75cm x 60cm,Inox 304,Trắng kem tối giản,36 tháng,iDECOR Việt Nam,"Sản phẩm Ghế ăn bọc da thông minh cao cấp SP095 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP096,Bàn ăn Scandinavian SP096,Phòng bếp,21310000,14,https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=600&q=80|https://images.unsplash.com/photo-1615066390971-03e4e1c36ddf?w=600&q=80|https://images.unsplash.com/photo-1522771739844-6a9f6d5f14af?w=600&q=80|https://images.unsplash.com/photo-1556912173-3bb406ef7e77?w=600&q=80,Bàn ăn chất liệu inox 304 mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,104cm x 59cm x 158cm,Inox 304,Ghi xám thanh lịch,24 tháng,iDECOR Thiết kế & Thi công,"Sản phẩm Bàn ăn Scandinavian SP096 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP097,Tủ giày thông minh tối giản SP097,Phòng khách,17520000,51,https://images.unsplash.com/photo-1618221195710-dd6b41faaea6?w=600&q=80|https://images.unsplash.com/photo-1595428774223-ef52624120d2?w=600&q=80|https://images.unsplash.com/photo-1517256064527-09c53b2d0c6b?w=600&q=80|https://images.unsplash.com/photo-1558882224-cca166733360?w=600&q=80,Tủ giày thông minh chất liệu gỗ sồi tự nhiên mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,143cm x 42cm x 196cm,Gỗ Sồi tự nhiên,Xám đậm hiện đại,24 tháng,Nhập khẩu nguyên kiện,"Sản phẩm Tủ giày thông minh tối giản SP097 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP098,Kệ treo quần áo chữ A phong cách Japandi SP098,Phòng ngủ,12710000,8,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?w=600&q=80|https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=600&q=80|https://images.unsplash.com/photo-1603006905003-be475563bc59?w=600&q=80|https://images.unsplash.com/photo-1563245372-f21724e3856d?w=600&q=80,Kệ treo quần áo chữ A chất liệu cốt gỗ xanh chống ẩm mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,214cm x 91cm x 141cm,Cốt gỗ xanh chống ẩm,Xanh mint pastel,12 tháng,iDECOR Thiết kế & Thi công,"Sản phẩm Kệ treo quần áo chữ A phong cách Japandi SP098 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP099,Kệ để đồ sau bồn cầu Scandinavian SP099,Phòng tắm,18060000,54,https://images.unsplash.com/photo-1556911220-e15b29be8c8f?w=600&q=80|https://images.unsplash.com/photo-1563245372-f21724e3856d?w=600&q=80|https://images.unsplash.com/photo-1615066390971-03e4e1c36ddf?w=600&q=80|https://images.unsplash.com/photo-1594758066227-d021c5b8b9ec?w=600&q=80,Kệ để đồ sau bồn cầu chất liệu inox 304 xước mờ mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,114cm x 52cm x 89cm,Inox 304 xước mờ,Vàng sồi tự nhiên,24 tháng,iDECOR Việt Nam,"Sản phẩm Kệ để đồ sau bồn cầu Scandinavian SP099 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP100,Tab đầu giường sang trọng SP100,Phòng ngủ,13050000,52,https://images.unsplash.com/photo-1533090161767-e6ffed986c88?w=600&q=80|https://images.unsplash.com/photo-1522771739844-6a9f6d5f14af?w=600&q=80|https://images.unsplash.com/photo-1563861826100-9cb868fdbe1c?w=600&q=80|https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=600&q=80,Tab đầu giường chất liệu vải nỉ nhập khẩu mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,210cm x 78cm x 120cm,Vải nỉ nhập khẩu,Vàng sồi tự nhiên,24 tháng,Nhập khẩu nguyên kiện,"Sản phẩm Tab đầu giường sang trọng SP100 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP101,Quầy bar mini phong cách Japandi SP101,Phòng bếp,1660000,41,https://images.unsplash.com/photo-1620626011761-996317b8d101?w=600&q=80|https://images.unsplash.com/photo-1513506003901-1e6a229e2d15?w=600&q=80|https://images.unsplash.com/photo-1593011403061-0b5c16503c20?w=600&q=80|https://images.unsplash.com/photo-1603006905003-be475563bc59?w=600&q=80,Quầy bar mini chất liệu inox 304 mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,110cm x 88cm x 106cm,Inox 304,Vàng sồi tự nhiên,12 tháng,Nhập khẩu nguyên kiện,"Sản phẩm Quầy bar mini phong cách Japandi SP101 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP102,Giá treo khăn inox hiện đại SP102,Phòng tắm,3030000,49,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=600&q=80|https://images.unsplash.com/photo-1620626011761-996317b8d101?w=600&q=80|https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=600&q=80|https://images.unsplash.com/photo-1615066390971-03e4e1c36ddf?w=600&q=80,Giá treo khăn inox chất liệu đá nhân tạo chống thấm mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,218cm x 60cm x 138cm,Đá nhân tạo chống thấm,Nâu hạt dẻ ấm áp,36 tháng,iDECOR Thiết kế & Thi công,"Sản phẩm Giá treo khăn inox hiện đại SP102 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP103,Ghế bar chân cao Retro hoài cổ SP103,Phòng bếp,20680000,11,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?w=600&q=80|https://images.unsplash.com/photo-1558882224-cca166733360?w=600&q=80|https://images.unsplash.com/photo-1593011403061-0b5c16503c20?w=600&q=80|https://images.unsplash.com/photo-1594758066227-d021c5b8b9ec?w=600&q=80,Ghế bar chân cao chất liệu inox 304 mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,203cm x 73cm x 63cm,Inox 304,Nâu hạt dẻ ấm áp,36 tháng,Nhập khẩu nguyên kiện,"Sản phẩm Ghế bar chân cao Retro hoài cổ SP103 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP104,Bàn ăn Retro hoài cổ SP104,Phòng bếp,3080000,49,https://images.unsplash.com/photo-1540518614846-7eded433c457?w=600&q=80|https://images.unsplash.com/photo-1618221195710-dd6b41faaea6?w=600&q=80|https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?w=600&q=80|https://images.unsplash.com/photo-1595428774223-ef52624120d2?w=600&q=80,Bàn ăn chất liệu inox 304 mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,69cm x 76cm x 64cm,Inox 304,Trắng kem tối giản,36 tháng,Nhập khẩu nguyên kiện,"Sản phẩm Bàn ăn Retro hoài cổ SP104 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP105,Quầy bar mini phong cách Japandi SP105,Phòng bếp,10750000,25,https://images.unsplash.com/photo-1595428774223-ef52624120d2?w=600&q=80|https://images.unsplash.com/photo-1563245372-f21724e3856d?w=600&q=80|https://images.unsplash.com/photo-1593011403061-0b5c16503c20?w=600&q=80|https://images.unsplash.com/photo-1616486338812-3dadae4b4ace?w=600&q=80,Quầy bar mini chất liệu gỗ mdf phủ acrylic bóng gương mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,166cm x 63cm x 143cm,Gỗ MDF phủ Acrylic bóng gương,Trắng kem tối giản,24 tháng,iDECOR Việt Nam,"Sản phẩm Quầy bar mini phong cách Japandi SP105 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP106,Hộp đựng nước rửa tay tối giản SP106,Phòng tắm,1960000,21,https://images.unsplash.com/photo-1532372320572-cda25653a26d?w=600&q=80|https://images.unsplash.com/photo-1594758066227-d021c5b8b9ec?w=600&q=80|https://images.unsplash.com/photo-1620626011761-996317b8d101?w=600&q=80|https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=600&q=80,Hộp đựng nước rửa tay chất liệu phôi gương bỉ cao cấp mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,202cm x 79cm x 117cm,Phôi gương Bỉ cao cấp,Ghi xám thanh lịch,24 tháng,Nhập khẩu nguyên kiện,"Sản phẩm Hộp đựng nước rửa tay tối giản SP106 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
